ip,ip_type,isp,city,state,country,note
198.18.51.109,residential,Brightwave Cable,Denver,CO,US,
198.18.137.107,residential,Metrolink Fiber,Seattle,WA,US,
198.18.52.249,residential,Brightwave Cable,Cleveland,OH,US,
203.0.113.77,hosting,Nimbuscloud VPS,,,US,datacenter / VPS range
198.18.77.140,residential,Metrolink Fiber,Los Angeles,CA,US,
198.18.13.102,residential,Crestline DSL,Columbus,OH,US,
198.18.201.7,residential,Metrolink Fiber,Brooklyn,NY,US,
198.18.201.44,residential_cgnat,Metrolink Fiber,Brooklyn,NY,US,ISP uses carrier-grade NAT in this /24; shared by many households
203.0.113.58,hosting_vpn,Nimbuscloud VPS,,,US,commercial VPN exit node
198.18.106.104,residential,Metrolink Fiber,Westerville,OH,US,
198.18.77.155,residential,Crestline DSL,Columbus,OH,US,
198.18.163.62,residential,Metrolink Fiber,Westerville,OH,US,
198.18.144.41,residential,Brightwave Cable,Columbus,OH,US,
198.18.154.58,residential,Metrolink Fiber,Westerville,OH,US,
198.18.236.87,residential,Metrolink Fiber,Boston,MA,US,
198.18.55.122,residential,Crestline DSL,Los Angeles,CA,US,
198.18.40.202,residential,Brightwave Cable,Austin,TX,US,
198.18.218.84,residential,Crestline DSL,Chicago,IL,US,
198.18.89.186,residential,Metrolink Fiber,Denver,CO,US,
198.18.42.65,residential,Metrolink Fiber,Seattle,WA,US,
198.18.161.42,residential,Brightwave Cable,Columbus,OH,US,
