case_id,account_id,customer_id,card_id,regime,status,stage,opened_at,intake_channel,intake_authenticated_via,claim_summary,claim_family_initial,network,network_condition,dispute_amount,provisional_credit_amount,provisional_credit_at,network_case_ref,dispute_processing_date,response_processing_date,pre_arb_processing_date,cardholder_outcome,network_outcome,closed_at,assigned_queue,related_case_ids
DSP-2026-00074,ACC-CR-00304,CUS-00357,CRD-000410,REG_Z,closed,closed,2026-02-04T15:36:00Z,app_chat,ivr_otp,Returned item; merchant promised refund that never posted.,credit_not_processed,VISA,13.6,75.27,75.27,2026-02-06T16:00:00Z,VRL4850729663,2026-02-12,,,credited,issuer_won,2026-03-13T21:00:00Z,consumer_disputes,
DSP-2026-00075,ACC-CR-00065,CUS-00075,CRD-000082,REG_Z,closed,closed,2026-08-03T20:19:00Z,secure_message,ivr_otp,Does not recognize merchant name on statement.,descriptor_confusion,VISA,,52.25,,,,,,,withdrawn,not_filed,2026-08-14T21:00:00Z,consumer_disputes,
DSP-2026-00076,ACC-CR-00298,CUS-00349,CRD-000400,REG_Z,closed,closed,2026-02-02T13:32:00Z,secure_message,ivr_otp,Item received is defective / not as described.,not_as_described,VISA,13.3,149.13,149.13,2026-02-04T16:00:00Z,VRL7202939079,2026-02-11,2026-02-27,,denied,merchant_won,2026-03-11T21:00:00Z,consumer_disputes,
DSP-2026-00078,ACC-CR-00043,CUS-00050,CRD-000056,REG_Z,closed,closed,2026-05-02T17:26:00Z,app_chat,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,425.66,425.66,2026-05-06T15:00:00Z,VRL9748351233,2026-05-10,,,credited,issuer_won,2026-06-15T21:00:00Z,fraud_cnp,
DSP-2026-00079,ACC-CR-00148,CUS-00172,CRD-000193,REG_Z,closed,closed,2026-05-27T13:16:00Z,app_chat,ivr_otp,Card lost; cardholder did not make in-store purchases.,fraud_card_present,VISA,10.3,279.82,279.82,2026-05-28T15:00:00Z,VRL3714823430,2026-06-05,,,credited,issuer_won,2026-07-12T21:00:00Z,fraud_cnp,
DSP-2026-00080,ACC-CR-00187,CUS-00219,CRD-000251,REG_Z,closed,closed,2026-06-05T14:16:00Z,secure_message,ivr_otp,Does not recognize merchant name on statement.,descriptor_confusion,VISA,,16.69,,,,,,,withdrawn,not_filed,2026-06-13T21:00:00Z,consumer_disputes,
DSP-2026-00081,ACC-CR-00185,CUS-00216,CRD-000246,REG_Z,closed,closed,2026-03-18T17:41:00Z,phone,ivr_otp,Item received is defective / not as described.,not_as_described,VISA,13.3,70.01,70.01,2026-03-20T15:00:00Z,VRL8266967892,2026-03-26,2026-04-24,,denied,merchant_won,2026-05-14T21:00:00Z,consumer_disputes,
DSP-2026-00082,ACC-DDA-00070,CUS-00319,CRD-000366,REG_E,open,awaiting_merchant_evidence,2026-10-14T20:42:00Z,phone,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,,197.95,197.95,2026-10-16T15:00:00Z,,,,,,,,fraud_cnp,
DSP-2026-00084,ACC-CR-00291,CUS-00342,CRD-000391,REG_Z,closed,closed,2026-09-03T18:02:00Z,phone,ivr_otp,Subscription was cancelled but charges continued.,cancelled_recurring,VISA,13.2,17.99,17.99,2026-09-04T15:00:00Z,VRL6706849610,2026-09-07,2026-09-27,,denied,merchant_won,2026-09-30T21:00:00Z,consumer_disputes,
DSP-2026-00085,ACC-CR-00250,CUS-00292,CRD-000333,REG_Z,closed,closed,2026-03-17T21:49:00Z,secure_message,ivr_otp,Charged twice for the same purchase.,duplicate,VISA,,142.45,142.45,2026-03-19T15:00:00Z,,,,,denied,not_filed,2026-03-25T21:00:00Z,consumer_disputes,
DSP-2026-00086,ACC-CR-00205,CUS-00238,CRD-000273,REG_Z,closed,closed,2026-05-19T13:36:00Z,secure_message,ivr_otp,Card lost; cardholder did not make in-store purchases.,fraud_card_present,VISA,10.3,221.31,221.31,2026-05-23T15:00:00Z,VRL7936590955,2026-05-29,,,credited,issuer_won,2026-07-06T21:00:00Z,fraud_cnp,
DSP-2026-00087,ACC-DDA-00076,CUS-00345,CRD-000395,REG_E,open,dispute_filed,2026-10-05T17:37:00Z,secure_message,ivr_otp,Charged more than the receipt amount.,incorrect_amount,VISA,12.5,4.03,4.03,2026-10-07T15:00:00Z,VRL9738594563,2026-10-11,,,,,,consumer_disputes,
DSP-2026-00088,ACC-CR-00283,CUS-00332,CRD-000380,REG_Z,open,awaiting_merchant_evidence,2026-10-15T13:37:00Z,phone,ivr_otp,Subscription was cancelled but charges continued.,cancelled_recurring,VISA,,9.99,9.99,2026-10-17T15:00:00Z,,,,,,,,consumer_disputes,
DSP-2026-00089,ACC-CR-00195,CUS-00228,CRD-000261,REG_Z,closed,closed,2026-08-18T14:52:00Z,secure_message,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,111.48,111.48,2026-08-19T15:00:00Z,VRL7779687722,2026-08-26,2026-09-24,,denied,merchant_won_pre_arb,2026-10-13T21:00:00Z,fraud_cnp,
DSP-2026-00090,ACC-CR-00064,CUS-00073,CRD-000080,REG_Z,closed,closed,2026-05-01T16:59:00Z,app_chat,ivr_otp,Paid for an order that never arrived.,not_received,VISA,,88.07,,,,,,,withdrawn,not_filed,2026-05-05T21:00:00Z,consumer_disputes,
DSP-2026-00091,ACC-CR-00171,CUS-00199,CRD-000226,REG_Z,closed,closed,2026-03-29T22:53:00Z,secure_message,ivr_otp,Cancelled order within policy; no refund.,cancelled_merch,VISA,13.7,121.92,121.92,2026-03-31T15:00:00Z,VRL6313342486,2026-04-07,,,credited,issuer_won,2026-06-05T21:00:00Z,consumer_disputes,
DSP-2026-00092,ACC-CR-00257,CUS-00300,CRD-000342,REG_Z,closed,closed,2026-04-16T14:07:00Z,app_chat,ivr_otp,Card lost; cardholder did not make in-store purchases.,fraud_card_present,VISA,10.3,238.88,238.88,2026-04-17T15:00:00Z,VRL2602903777,2026-04-24,,,credited,issuer_won,2026-05-14T21:00:00Z,fraud_cnp,
DSP-2026-00093,ACC-CR-00206,CUS-00243,CRD-000278,REG_Z,open,dispute_filed,2026-09-12T15:42:00Z,app_chat,ivr_otp,Item received is defective / not as described.,not_as_described,VISA,13.3,37.94,37.94,2026-09-15T15:00:00Z,VRL8002845946,2026-09-17,,,,,,consumer_disputes,
DSP-2026-00094,ACC-CR-00295,CUS-00346,CRD-000396,REG_Z,open,awaiting_merchant_evidence,2026-10-11T16:15:00Z,secure_message,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,,1004.26,1004.26,2026-10-15T15:00:00Z,,,,,,,,fraud_cnp,
DSP-2026-00095,ACC-DDA-00021,CUS-00123,CRD-000141,REG_E,open,dispute_filed,2026-09-09T17:45:00Z,phone,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,958.58,958.58,2026-09-11T15:00:00Z,VRL3886806827,2026-09-17,,,,,,fraud_cnp,
DSP-2026-00096,ACC-CR-00280,CUS-00329,CRD-000377,REG_Z,closed,closed,2026-07-13T13:30:00Z,phone,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,44.15,44.15,2026-07-16T15:00:00Z,VRL7739630538,2026-07-21,2026-08-09,,denied,merchant_won_pre_arb,2026-08-29T21:00:00Z,fraud_cnp,
DSP-2026-00097,ACC-CR-00294,CUS-00345,CRD-000394,REG_Z,open,dispute_filed,2026-09-24T19:32:00Z,phone,ivr_otp,Subscription was cancelled but charges continued.,cancelled_recurring,VISA,13.2,65.00,65.00,2026-09-25T15:00:00Z,VRL9762940156,2026-09-29,,,,,,consumer_disputes,
DSP-2026-00098,ACC-CR-00020,CUS-00026,CRD-000029,REG_Z,closed,closed,2026-04-18T17:38:00Z,secure_message,ivr_otp,Card lost; cardholder did not make in-store purchases.,fraud_card_present,VISA,10.3,446.42,446.42,2026-04-20T15:00:00Z,VRL8630600374,2026-04-21,,,credited,issuer_won,2026-06-13T21:00:00Z,fraud_cnp,
DSP-2026-00099,ACC-CR-00074,CUS-00086,CRD-000096,REG_Z,closed,closed,2026-01-30T17:13:00Z,secure_message,ivr_otp,Does not recognize merchant name on statement.,descriptor_confusion,VISA,,122.20,,,,,,,withdrawn,not_filed,2026-02-05T22:00:00Z,consumer_disputes,
DSP-2026-00100,ACC-CR-00303,CUS-00356,CRD-000409,REG_Z,open,dispute_filed,2026-09-20T12:32:00Z,secure_message,ivr_otp,Paid for an order that never arrived.,not_received,VISA,13.1,80.52,80.52,2026-09-25T15:00:00Z,VRL5118554268,2026-09-28,,,,,,consumer_disputes,
DSP-2026-00101,ACC-CR-00002,CUS-00002,CRD-000002,REG_Z,closed,closed,2026-04-27T22:35:00Z,secure_message,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,730.24,730.24,2026-04-30T15:00:00Z,VRL5263652549,2026-05-03,,,credited,issuer_won,2026-06-10T21:00:00Z,fraud_cnp,
DSP-2026-00102,ACC-CR-00275,CUS-00324,CRD-000372,REG_Z,open,dispute_filed,2026-09-24T16:01:00Z,app_chat,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,290.86,290.86,2026-09-28T15:00:00Z,VRL5463876470,2026-09-29,,,,,,fraud_cnp,
DSP-2026-00103,ACC-CR-00004,CUS-00004,CRD-000004,REG_Z,open,investigating,2026-10-17T15:38:00Z,secure_message,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,,1156.82,1156.82,2026-10-20T15:00:00Z,,,,,,,,fraud_cnp,
DSP-2026-00104,ACC-CR-00297,CUS-00348,CRD-000399,REG_Z,open,investigating,2026-10-18T21:53:00Z,secure_message,ivr_otp,Does not recognize merchant name on statement.,descriptor_confusion,VISA,,60.07,,,,,,,,,,consumer_disputes,
DSP-2026-00105,ACC-CR-00133,CUS-00155,CRD-000175,REG_Z,closed,closed,2026-04-09T17:51:00Z,phone,ivr_otp,Paid for an order that never arrived.,not_received,VISA,13.1,151.80,151.80,2026-04-13T15:00:00Z,VRL7172650167,2026-04-19,,,credited,issuer_won,2026-06-06T21:00:00Z,consumer_disputes,
DSP-2026-00106,ACC-CR-00289,CUS-00339,CRD-000388,REG_Z,closed,closed,2026-08-24T14:21:00Z,secure_message,ivr_otp,Paid for an order that never arrived.,not_received,VISA,,71.95,,,,,,,withdrawn,not_filed,2026-08-26T21:00:00Z,consumer_disputes,
DSP-2026-00107,ACC-CR-00289,CUS-00339,CRD-000388,REG_Z,open,investigating,2026-09-30T18:08:00Z,secure_message,ivr_otp,Does not recognize merchant name on statement.,descriptor_confusion,VISA,,161.49,,,,,,,,,,consumer_disputes,
DSP-2026-00108,ACC-CR-00261,CUS-00304,CRD-000348,REG_Z,closed,closed,2026-05-11T12:18:00Z,phone,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,178.24,178.24,2026-05-16T15:00:00Z,VRL4528344029,2026-05-20,2026-06-14,,denied,merchant_won_pre_arb,2026-07-01T21:00:00Z,fraud_cnp,
DSP-2026-00109,ACC-CR-00002,CUS-00002,CRD-000002,REG_Z,closed,closed,2026-04-30T17:13:00Z,secure_message,ivr_otp,Charged more than the receipt amount.,incorrect_amount,VISA,12.5,5.75,5.75,2026-05-04T15:00:00Z,VRL7709122215,2026-05-05,,,partial_credit,issuer_won,2026-06-21T21:00:00Z,consumer_disputes,
DSP-2026-00110,ACC-CR-00014,CUS-00016,CRD-000018,REG_Z,closed,closed,2026-03-15T14:42:00Z,secure_message,ivr_otp,Paid for an order that never arrived.,not_received,VISA,13.1,125.03,125.03,2026-03-17T15:00:00Z,VRL9608856115,2026-03-25,2026-04-22,,denied,merchant_won,2026-04-29T21:00:00Z,consumer_disputes,
DSP-2026-00111,ACC-CR-00283,CUS-00332,CRD-000380,REG_Z,open,investigating,2026-10-19T15:57:00Z,secure_message,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,,551.56,551.56,2026-10-21T15:00:00Z,,,,,,,,fraud_cnp,
DSP-2026-00112,ACC-CR-00270,CUS-00315,CRD-000361,REG_Z,closed,closed,2026-01-21T20:46:00Z,phone,ivr_otp,Does not recognize merchant name on statement.,descriptor_confusion,VISA,,102.33,,,,,,,withdrawn,not_filed,2026-02-01T22:00:00Z,consumer_disputes,
DSP-2026-00113,ACC-CR-00002,CUS-00002,CRD-000002,REG_Z,closed,closed,2026-04-09T18:12:00Z,app_chat,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,56.60,56.60,2026-04-14T15:00:00Z,VRL7513372150,2026-04-14,2026-05-11,,denied,merchant_won_pre_arb,2026-06-02T21:00:00Z,fraud_cnp,
DSP-2026-00114,ACC-CR-00206,CUS-00243,CRD-000278,REG_Z,closed,closed,2026-01-29T14:40:00Z,secure_message,ivr_otp,Charged twice for the same purchase.,duplicate,VISA,12.6,121.77,121.77,2026-02-03T16:00:00Z,VRL9345453194,2026-02-03,,,credited,issuer_won,2026-03-20T21:00:00Z,consumer_disputes,
DSP-2026-00115,ACC-CR-00106,CUS-00119,CRD-000135,REG_Z,closed,closed,2026-06-17T16:04:00Z,app_chat,ivr_otp,Subscription was cancelled but charges continued.,cancelled_recurring,VISA,13.2,85.00,85.00,2026-06-22T15:00:00Z,VRL4709461556,2026-06-24,,,credited,issuer_won,2026-07-16T21:00:00Z,consumer_disputes,
DSP-2026-00116,ACC-CR-00304,CUS-00357,CRD-000410,REG_Z,open,dispute_filed,2026-10-05T15:07:00Z,app_chat,ivr_otp,Item received is defective / not as described.,not_as_described,VISA,13.3,177.64,177.64,2026-10-07T15:00:00Z,VRL3653118264,2026-10-13,,,,,,consumer_disputes,
DSP-2026-00117,ACC-CR-00095,CUS-00108,CRD-000122,REG_Z,open,dispute_filed,2026-09-22T18:53:00Z,phone,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,6.56,6.56,2026-09-25T15:00:00Z,VRL2660824447,2026-09-30,,,,,,fraud_cnp,
DSP-2026-00118,ACC-CR-00177,CUS-00206,CRD-000235,REG_Z,closed,closed,2026-04-17T18:56:00Z,secure_message,ivr_otp,Does not recognize merchant name on statement.,descriptor_confusion,VISA,,25.09,,,,,,,withdrawn,not_filed,2026-04-20T21:00:00Z,consumer_disputes,
DSP-2026-00119,ACC-CR-00027,CUS-00033,CRD-000036,REG_Z,closed,closed,2026-01-06T14:15:00Z,secure_message,ivr_otp,Returned item; merchant promised refund that never posted.,credit_not_processed,VISA,,135.99,,,,,,,withdrawn,not_filed,2026-01-12T22:00:00Z,consumer_disputes,
DSP-2026-00120,ACC-CR-00032,CUS-00038,CRD-000042,REG_Z,closed,closed,2026-04-29T18:43:00Z,secure_message,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,991.62,991.62,2026-05-01T15:00:00Z,VRL4460697261,2026-05-09,,,credited,issuer_won,2026-05-28T21:00:00Z,fraud_cnp,
DSP-2026-00121,ACC-DDA-00047,CUS-00223,CRD-000256,REG_E,closed,closed,2026-04-22T13:49:00Z,secure_message,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,149.08,149.08,2026-04-25T15:00:00Z,VRL7689243527,2026-04-30,2026-05-21,,denied,merchant_won_pre_arb,2026-06-03T21:00:00Z,fraud_cnp,
DSP-2026-00122,ACC-CR-00033,CUS-00039,CRD-000043,REG_Z,closed,closed,2026-08-14T15:55:00Z,secure_message,ivr_otp,Item received is defective / not as described.,not_as_described,VISA,13.3,124.13,124.13,2026-08-16T15:00:00Z,VRL1862169692,2026-08-22,,,credited,issuer_won,2026-10-17T21:00:00Z,consumer_disputes,
DSP-2026-00123,ACC-CR-00070,CUS-00081,CRD-000090,REG_Z,closed,closed,2026-03-02T19:37:00Z,phone,ivr_otp,Charged twice for the same purchase.,duplicate,VISA,12.6,142.73,142.73,2026-03-03T16:00:00Z,VRL1117040852,2026-03-07,,,credited,issuer_won,2026-04-01T21:00:00Z,consumer_disputes,
DSP-2026-00124,ACC-CR-00252,CUS-00294,CRD-000335,REG_Z,closed,closed,2026-01-31T13:39:00Z,app_chat,ivr_otp,Cancelled order within policy; no refund.,cancelled_merch,VISA,13.7,89.03,89.03,2026-02-04T16:00:00Z,VRL2537698400,2026-02-03,,,credited,issuer_won,2026-04-04T21:00:00Z,consumer_disputes,
DSP-2026-00125,ACC-CR-00019,CUS-00025,CRD-000028,REG_Z,closed,closed,2026-08-06T18:43:00Z,app_chat,ivr_otp,Paid for an order that never arrived.,not_received,VISA,13.1,95.62,95.62,2026-08-08T15:00:00Z,VRL5885169007,2026-08-12,,,credited,issuer_won,2026-09-03T21:00:00Z,consumer_disputes,
DSP-2026-00126,ACC-CR-00031,CUS-00037,CRD-000040,REG_Z,closed,closed,2026-06-15T16:41:00Z,app_chat,ivr_otp,Item received is defective / not as described.,not_as_described,VISA,13.3,151.59,151.59,2026-06-19T15:00:00Z,VRL3701315593,2026-06-20,,,credited,issuer_won,2026-08-01T21:00:00Z,consumer_disputes,
DSP-2026-00127,ACC-CR-00161,CUS-00187,CRD-000212,REG_Z,closed,closed,2026-01-08T13:22:00Z,app_chat,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,463.63,463.63,2026-01-12T16:00:00Z,VRL3394737581,2026-01-16,,,credited,issuer_won,2026-03-03T22:00:00Z,fraud_cnp,
DSP-2026-00128,ACC-CR-00152,CUS-00176,CRD-000198,REG_Z,closed,closed,2026-07-08T20:13:00Z,secure_message,ivr_otp,Item received is defective / not as described.,not_as_described,VISA,13.3,159.81,159.81,2026-07-12T15:00:00Z,VRL3748466184,2026-07-13,,,credited,issuer_won,2026-08-29T21:00:00Z,consumer_disputes,
DSP-2026-00129,ACC-CR-00213,CUS-00251,CRD-000287,REG_Z,open,investigating,2026-09-29T16:27:00Z,secure_message,ivr_otp,Does not recognize merchant name on statement.,descriptor_confusion,VISA,,66.41,,,,,,,,,,consumer_disputes,
DSP-2026-00130,ACC-CR-00303,CUS-00356,CRD-000409,REG_Z,closed,closed,2026-05-13T13:05:00Z,secure_message,ivr_otp,Cancelled order within policy; no refund.,cancelled_merch,VISA,13.7,142.14,142.14,2026-05-16T15:00:00Z,VRL8647021130,2026-05-21,,,credited,issuer_won,2026-06-20T21:00:00Z,consumer_disputes,
DSP-2026-00131,ACC-CR-00175,CUS-00204,CRD-000233,REG_Z,closed,closed,2026-08-14T22:20:00Z,secure_message,ivr_otp,Charged twice for the same purchase.,duplicate,VISA,12.6,5.47,5.47,2026-08-16T15:00:00Z,VRL4376969049,2026-08-22,,,credited,issuer_won,2026-09-08T21:00:00Z,consumer_disputes,
DSP-2026-00132,ACC-CR-00220,CUS-00258,CRD-000294,REG_Z,open,dispute_filed,2026-09-19T22:19:00Z,secure_message,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,759.16,759.16,2026-09-24T15:00:00Z,VRL3855200554,2026-09-27,,,,,,fraud_cnp,
DSP-2026-00133,ACC-CR-00069,CUS-00080,CRD-000089,REG_Z,open,dispute_filed,2026-09-21T21:27:00Z,phone,ivr_otp,Subscription was cancelled but charges continued.,cancelled_recurring,VISA,13.2,17.99,17.99,2026-09-24T15:00:00Z,VRL2961211597,2026-09-25,,,,,,consumer_disputes,
DSP-2026-00134,ACC-CR-00269,CUS-00314,CRD-000360,REG_Z,open,dispute_filed,2026-09-30T14:37:00Z,phone,ivr_otp,Item received is defective / not as described.,not_as_described,VISA,13.3,174.74,174.74,2026-10-03T15:00:00Z,VRL1298742257,2026-10-07,,,,,,consumer_disputes,
DSP-2026-00135,ACC-CR-00059,CUS-00067,CRD-000073,REG_Z,closed,closed,2026-05-25T14:54:00Z,app_chat,ivr_otp,Paid for an order that never arrived.,not_received,VISA,13.1,44.75,44.75,2026-05-29T15:00:00Z,VRL9308082792,2026-06-02,,,credited,issuer_won,2026-07-31T21:00:00Z,consumer_disputes,
DSP-2026-00136,ACC-DDA-00044,CUS-00217,CRD-000248,REG_E,closed,closed,2026-02-05T15:54:00Z,app_chat,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,1180.93,1180.93,2026-02-06T16:00:00Z,VRL9495400625,2026-02-08,,,credited,issuer_won,2026-03-13T21:00:00Z,fraud_cnp,
DSP-2026-00137,ACC-CR-00161,CUS-00187,CRD-000212,REG_Z,closed,closed,2026-01-21T14:34:00Z,app_chat,ivr_otp,Subscription was cancelled but charges continued.,cancelled_recurring,VISA,13.2,17.99,17.99,2026-01-24T16:00:00Z,VRL8412634728,2026-01-26,,,credited,issuer_won,2026-03-02T22:00:00Z,consumer_disputes,
DSP-2026-00138,ACC-CR-00216,CUS-00254,CRD-000290,REG_Z,closed,closed,2026-05-15T22:15:00Z,app_chat,ivr_otp,Charged more than the receipt amount.,incorrect_amount,VISA,12.5,1.03,1.03,2026-05-20T15:00:00Z,VRL8051560927,2026-05-25,,,partial_credit,issuer_won,2026-06-20T21:00:00Z,consumer_disputes,
DSP-2026-00139,ACC-CR-00088,CUS-00100,CRD-000112,REG_Z,closed,closed,2026-09-02T19:15:00Z,secure_message,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,66.45,66.45,2026-09-05T15:00:00Z,VRL5533069298,2026-09-08,2026-10-06,,denied,merchant_won_pre_arb,2026-10-27T21:00:00Z,fraud_cnp,
DSP-2026-00140,ACC-CR-00127,CUS-00147,CRD-000167,REG_Z,closed,closed,2026-03-13T22:33:00Z,phone,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,22.30,22.30,2026-03-17T15:00:00Z,VRL2587666772,2026-03-22,2026-04-09,,denied,merchant_won_pre_arb,2026-04-12T21:00:00Z,fraud_cnp,
DSP-2026-00141,ACC-DDA-00044,CUS-00217,CRD-000248,REG_E,closed,closed,2026-05-08T18:13:00Z,phone,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,718.00,718.00,2026-05-11T15:00:00Z,VRL1084831991,2026-05-12,,,credited,issuer_won,2026-06-04T21:00:00Z,fraud_cnp,
DSP-2026-00142,ACC-CR-00115,CUS-00130,CRD-000148,REG_Z,closed,closed,2026-01-18T18:05:00Z,secure_message,ivr_otp,Paid for an order that never arrived.,not_received,VISA,13.1,13.04,13.04,2026-01-19T16:00:00Z,VRL9480137313,2026-01-28,2026-02-23,,denied,merchant_won,2026-03-19T21:00:00Z,consumer_disputes,
DSP-2026-00143,ACC-CR-00128,CUS-00148,CRD-000168,REG_Z,closed,closed,2026-04-12T12:23:00Z,app_chat,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,925.11,925.11,2026-04-16T15:00:00Z,VRL8267735521,2026-04-21,,,credited,issuer_won,2026-06-07T21:00:00Z,fraud_cnp,
DSP-2026-00144,ACC-CR-00087,CUS-00099,CRD-000111,REG_Z,open,dispute_filed,2026-09-18T16:51:00Z,phone,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,302.27,302.27,2026-09-19T15:00:00Z,VRL2714644553,2026-09-27,,,,,,fraud_cnp,
DSP-2026-00145,ACC-DDA-00010,CUS-00074,CRD-000081,REG_E,closed,closed,2026-06-08T19:02:00Z,secure_message,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,1122.22,1122.22,2026-06-09T15:00:00Z,VRL8153093288,2026-06-13,,,credited,issuer_won,2026-07-02T21:00:00Z,fraud_cnp,
DSP-2026-00146,ACC-CR-00288,CUS-00338,CRD-000386,REG_Z,closed,closed,2026-06-27T18:51:00Z,secure_message,ivr_otp,Does not recognize merchant name on statement.,descriptor_confusion,VISA,,49.35,,,,,,,withdrawn,not_filed,2026-07-05T21:00:00Z,consumer_disputes,
DSP-2026-00147,ACC-CR-00238,CUS-00279,CRD-000317,REG_Z,closed,closed,2026-03-28T21:12:00Z,app_chat,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,535.13,535.13,2026-04-02T15:00:00Z,VRL4928825073,2026-04-01,,,credited,issuer_won,2026-05-11T21:00:00Z,fraud_cnp,
DSP-2026-00148,ACC-CR-00118,CUS-00135,CRD-000154,REG_Z,closed,closed,2026-02-02T22:56:00Z,secure_message,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,945.08,945.08,2026-02-04T16:00:00Z,VRL6759045488,2026-02-11,,,credited,issuer_won,2026-02-28T22:00:00Z,fraud_cnp,
DSP-2026-00149,ACC-CR-00293,CUS-00344,CRD-000393,REG_Z,open,dispute_filed,2026-10-06T15:28:00Z,phone,ivr_otp,Card lost; cardholder did not make in-store purchases.,fraud_card_present,VISA,10.3,734.68,734.68,2026-10-10T15:00:00Z,VRL3755282629,2026-10-12,,,,,,fraud_cnp,
DSP-2026-00150,ACC-DDA-00056,CUS-00276,CRD-000313,REG_E,closed,closed,2026-05-21T20:13:00Z,secure_message,ivr_otp,Charged more than the receipt amount.,incorrect_amount,VISA,12.5,2.19,2.19,2026-05-23T15:00:00Z,VRL6715125962,2026-05-29,,,partial_credit,issuer_won,2026-07-11T21:00:00Z,consumer_disputes,
DSP-2026-00151,ACC-CR-00228,CUS-00267,CRD-000303,REG_Z,closed,closed,2026-06-04T20:41:00Z,app_chat,ivr_otp,Subscription was cancelled but charges continued.,cancelled_recurring,VISA,13.2,65.00,65.00,2026-06-07T15:00:00Z,VRL7052795360,2026-06-12,2026-07-05,,denied,merchant_won,2026-07-20T21:00:00Z,consumer_disputes,
DSP-2026-00153,ACC-CR-00090,CUS-00102,CRD-000115,REG_Z,closed,closed,2026-04-11T14:21:00Z,phone,ivr_otp,Paid for an order that never arrived.,not_received,VISA,13.1,228.45,228.45,2026-04-13T15:00:00Z,VRL6281718082,2026-04-16,,,credited,issuer_won,2026-05-25T21:00:00Z,consumer_disputes,
DSP-2026-00154,ACC-CR-00143,CUS-00167,CRD-000188,REG_Z,closed,closed,2026-03-03T23:31:00Z,app_chat,ivr_otp,Item received is defective / not as described.,not_as_described,VISA,13.3,2.48,2.48,2026-03-04T16:00:00Z,VRL5713843756,2026-03-07,2026-03-29,,denied,merchant_won,2026-04-09T21:00:00Z,consumer_disputes,
DSP-2026-00155,ACC-CR-00027,CUS-00033,CRD-000036,REG_Z,closed,closed,2026-01-05T21:13:00Z,secure_message,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,171.96,171.96,2026-01-06T16:00:00Z,VRL6816534947,2026-01-08,,,credited,issuer_won,2026-01-25T22:00:00Z,fraud_cnp,
DSP-2026-00156,ACC-CR-00012,CUS-00014,CRD-000016,REG_Z,closed,closed,2026-04-13T22:46:00Z,secure_message,ivr_otp,Cardholder does not recognize and did not authorize an online purchase.,fraud_cnp,VISA,10.4,8.66,8.66,2026-04-14T15:00:00Z,VRL7088522676,2026-04-18,2026-05-05,,denied,merchant_won_pre_arb,2026-05-12T21:00:00Z,fraud_cnp,
DSP-2026-00157,ACC-CR-00150,CUS-00174,CRD-000195,REG_Z,closed,closed,2026-08-31T19:23:00Z,app_chat,ivr_otp,Subscription was cancelled but charges continued.,cancelled_recurring,VISA,13.2,85.00,85.00,2026-09-03T15:00:00Z,VRL6843964437,2026-09-06,,,credited,issuer_won,2026-10-18T21:00:00Z,consumer_disputes,
